gene_symbol,disease_group,stratum,sources,is_prespecified_h4_gene,present_in_strict_clinvar_filter,n_plp_variants,max_review_weight,review_status_examples,condition_examples,matched_in_expression_matrix,expression_gene_id,expression_symbol_match_type
TNNI3,DCM,,ClinVar_PLP_review2plus,False,True,8,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,
TPM1,DCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
TSFM,DCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",not_provided|Primary_dilated_cardiomyopathy|Fatal_mitochondrial_disease_due_to_combined_oxidative_phosphorylation_defect_type_3,,,
ACTC1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,5,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_provided|Primary_dilated_cardiomyopathy | Cardiovascular_phenotype|Atrial_septal_defect_5|Dilated_cardiomyopathy_1R|Hypertrophic_cardiomyopathy_11|not_specified|not_provided | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_11|Dilated_cardiomyopathy_1R|Atrial_septal_defect_5|not_provided|Cardiomyopathy|Left_ventricular_noncompaction_4|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
BAG3,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,nan,nan,,,
CSRP3,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Dilated_cardiomyopathy_1M|Hypertrophic_cardiomyopathy_12 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_12|Dilated_cardiomyopathy_1M,,,
FLNC,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,94,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Hypertrophic_cardiomyopathy_26|Cardiovascular_phenotype | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|Hypertrophic_cardiomyopathy_26|not_provided | Cardiovascular_phenotype|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26|Cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|Myofibrillar_myopathy_5|not_provided|Hypertrophic_cardiomyopathy_26 | Cardiovascular_phenotype|not_provided|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement | Hypertrophic_cardiomyopathy_26|Myofibrillar_myopathy_5|Distal_myopathy_with_posterior_leg_and_anterior_hand_involvement|not_provided|Primary_familial_dilated_cardiomyopathy,,,
JPH2,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
LMNA,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1A|Cardiomyopathy|Hypertrophic_cardiomyopathy_1,,,
MYBPC3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,458,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_4 | Cardiomyopathy|Hypertrophic_cardiomyopathy_4|Cardiovascular_phenotype | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_4|Left_ventricular_noncompaction_10|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1I|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy|Left_ventricular_hypertrophy|See_cases | Cardiovascular_phenotype|MYBPC3-related_disorder|Left_ventricular_noncompaction_cardiomyopathy|Primary_dilated_cardiomyopathy|Left_ventricular_noncompaction_10|Hypertrophic_cardiomyopathy_4|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_4,,,
MYH7,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,135,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy|Cardiovascular_phenotype|not_provided | Cardiovascular_phenotype|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiomyopathy|Hypertrophic_cardiomyopathy_1|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_1S|MYH7-related_skeletal_myopathy|Hypertrophic_cardiomyopathy_1|Myopathy,_myosin_storage,_autosomal_recessive|Myosin_storage_myopathy|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|See_cases|Hypertrophic_cardiomyopathy",,,
MYL2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_10|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_10,,,
MYL3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_8|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|not_provided,,,
PLN,HCM,HCM_non_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
RBM20,HCM,HCM_non_sarcomeric,PreSpecified_H4_Stratum,True,False,0,,nan,nan,,,
TNNI3,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,14,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiomyopathy,_familial_restrictive,_1|Hypertrophic_cardiomyopathy_7 | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Dilated_cardiomyopathy_2A|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_1FF|Hypertrophic_cardiomyopathy_7|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_7|Dilated_cardiomyopathy_1FF|Cardiomyopathy,_familial_restrictive,_1|Dilated_cardiomyopathy_2A|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1FF|Dilated_cardiomyopathy_2A|Hypertrophic_cardiomyopathy_7|Cardiomyopathy,_familial_restrictive,_1|not_provided|Restrictive_cardiomyopathy|Hypertrophic_cardiomyopathy",,,
TNNT2,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,27,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3|Hypertrophic_cardiomyopathy_2|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Cardiomyopathy,_familial_restrictive,_3|Dilated_cardiomyopathy_1D|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy_2|Dilated_cardiomyopathy_1D|Cardiomyopathy,_familial_restrictive,_3",,,
TPM1,HCM,HCM_sarcomeric,ClinVar_PLP_review2plus;PreSpecified_H4_Stratum,True,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Autosomal_dominant_TPM1-related_disorders|Left_ventricular_noncompaction_9|Familial_cardiomyopathy|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Dilated_cardiomyopathy_1Y|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_3|Dilated_cardiomyopathy_1Y|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy_3|Hypertrophic_cardiomyopathy,,,
ACTN2,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dilated_cardiomyopathy_1AA|Cardiomyopathy,_familial_hypertrophic,_23,_with_or_without_ventricular_noncompaction|Cardiovascular_phenotype|ACTN2-related_disorder|Hypertrophic_cardiomyopathy|Primary_dilated_cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy | Dilated_cardiomyopathy_1AA|Primary_familial_hypertrophic_cardiomyopathy|ACTN2-related_cardiac_and_skeletal_myopathy",,,
ALPK3,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Cardiomyopathy,_familial_hypertrophic_27|Cardiovascular_phenotype|not_provided|Primary_familial_hypertrophic_cardiomyopathy | Cardiomyopathy,_familial_hypertrophic_27|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy",,,
CACNA1C,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Long_QT_syndrome_8|Cardiac_arrhythmia|Long_QT_syndrome|not_provided|Hypertrophic_cardiomyopathy_1|Timothy_syndrome,,,
CASR,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Autosomal_dominant_hypocalcemia_1|Familial_hypocalciuric_hypercalcemia|Hypertrophic_cardiomyopathy|Hypercalcemia|Hypocalciuria|Parathyroid_gland_adenoma|Familial_hypocalciuric_hypercalcemia_1|Neonatal_severe_primary_hyperparathyroidism|Epilepsy,_idiopathic_generalized,_susceptibility_to,_8|not_provided",,,
CAV3,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome | Hypertrophic_cardiomyopathy_1|Long_QT_syndrome_9|Rippling_muscle_disease_2|Distal_myopathy,_Tateyama_type|Elevated_circulating_creatine_kinase_activity|Long_QT_syndrome|not_provided",,,
CEP85L,HCM,,ClinVar_PLP_review2plus,False,True,2,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",PLN-related_cardiomyopathy|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Hypertrophic_cardiomyopathy_18|Dilated_cardiomyopathy_1P|Primary_dilated_cardiomyopathy|SUDDEN_INFANT_DEATH_SYNDROME|Arrhythmogenic_right_ventricular_dysplasia_9 | PLN-related_disorder|Intrinsic_cardiomyopathy|Cardiovascular_phenotype|Sudden_cardiac_death|Cardiac_arrest|Dilated_cardiomyopathy_1P|Hypertrophic_cardiomyopathy_18|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
COQ9,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome|not_provided | not_provided|Encephalopathy-hypertrophic_cardiomyopathy-renal_tubular_disease_syndrome,,,
DES,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Desmin-related_myofibrillar_myopathy|Cardiovascular_phenotype|Primary_dilated_cardiomyopathy|Neuromuscular_disease|Dilated_cardiomyopathy_1I|Neurogenic_scapuloperoneal_syndrome,_Kaeser_type|not_provided|Primary_familial_hypertrophic_cardiomyopathy",,,
GLA,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,
KCNH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Congenital_long_QT_syndrome|not_provided|Long_QT_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,
KIF5B,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Primary_dilated_cardiomyopathy|Skeletal_myopathy|Ophthalmoplegia|Multiple_joint_contractures|Hypertrophic_cardiomyopathy,,,
LAMP2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|Danon_disease|Hypertrophic_cardiomyopathy|not_provided | Cardiovascular_phenotype|not_provided|Danon_disease|Hypertrophic_cardiomyopathy,,,
LZTR1,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Hereditary_cancer-predisposing_syndrome|Cardiovascular_phenotype|LZTR1-related_disorder|not_provided|Hypertrophic_cardiomyopathy_1,,,
MHRT,HCM,,ClinVar_PLP_review2plus,False,True,9,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel","Cardiovascular_phenotype|Cardiomyopathy|not_specified|not_provided|Hypertrophic_cardiomyopathy_1|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|MYH7-related_skeletal_myopathy|Abnormality_of_the_musculature|Hypertrophic_cardiomyopathy | Hypertrophic_cardiomyopathy|Congenital_muscular_dystrophy | Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Congenital_myopathy_with_fiber_type_disproportion|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_dilated_cardiomyopathy|Hypertrophic_cardiomyopathy | MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|Congenital_myopathy_with_fiber_type_disproportion|Hypertrophic_cardiomyopathy_1|Myosin_storage_myopathy|Myopathy,_myosin_storage,_autosomal_recessive|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Primary_familial_hypertrophic_cardiomyopathy|Asymmetric_septal_hypertrophy|Hypertrophic_cardiomyopathy | Myopathy,_myosin_storage,_autosomal_recessive|Hypertrophic_cardiomyopathy_1|MYH7-related_skeletal_myopathy|Dilated_cardiomyopathy_1S|not_provided|Hypertrophic_cardiomyopathy",,,
MRPL44,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Infantile_hypertrophic_cardiomyopathy_due_to_MRPL44_deficiency|not_provided,,,
MT-TI,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Primary_dilated_cardiomyopathy|Asymmetric_septal_hypertrophy|MT-TI-related_disorder|Mitochondrial_disease|Primary_familial_hypertrophic_cardiomyopathy|MERRF_syndrome,,,
MT-TL1,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,"Maternally-inherited_mitochondrial_myopathy|Hypertrophic_cardiomyopathy|MELAS_syndrome|Diabetes-deafness_syndrome_maternally_transmitted|Leigh_Syndrome_(mtDNA_mutation)|Auditory_neuropathy_spectrum_disorder|MT-TL1-related_disorders|MT-TL1-related_disorder|Leigh_syndrome,_mitochondrial|Short_stature|Sensorineural_hearing_loss_disorder|Glucose_intolerance|Stroke_disorder|not_specified|MERRF_syndrome|not_provided|Mitochondrial_disease|Age_related_macular_degeneration_2|MERRF/MELAS_overlap_syndrome|Histiocytoid_cardiomyopathy|Cyclical_vomiting_syndrome|3-methylglutaconic_aciduria_type_1|Leigh_syndrome|Focal_segmental_glomerulosclerosis_1|Cerebral_palsy|Mitochondrial_complex_IV_deficiency,_nuclear_type_1|See_cases",,,
MTO1,HCM,,ClinVar_PLP_review2plus,False,True,13,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Inborn_genetic_diseases|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | Inborn_genetic_diseases|not_provided|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency | MTO1-related_disorder|Mitochondrial_hypertrophic_cardiomyopathy_with_lactic_acidosis_due_to_MTO1_deficiency|not_provided,,,
MYH6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",MYH6-related_disorder|Hypertrophic_cardiomyopathy_14|Abnormal_heart_morphology|not_provided,,,
MYO6,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Progressive_sensorineural_hearing_loss-hypertrophic_cardiomyopathy_syndrome|Rare_genetic_deafness|not_provided,,,
NEXN,HCM,,ClinVar_PLP_review2plus,False,True,3,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20|not_provided | Hypertrophic_cardiomyopathy_20|Dilated_cardiomyopathy_1CC|Heart_failure,,,
PKP2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Arrhythmogenic_right_ventricular_cardiomyopathy|not_provided|Hypertrophic_cardiomyopathy|Arrhythmogenic_right_ventricular_dysplasia_9,,,
PMS2,HCM,,ClinVar_PLP_review2plus,False,True,1,3.0,reviewed_by_expert_panel,Mismatch_repair_cancer_syndrome_4|Lynch_syndrome_4|PMS2-related_cancer_disorders|Inherited_MMR_deficiency_(Lynch_syndrome)|PMS2-related_disorder|Hereditary_nonpolyposis_colorectal_neoplasms|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome|Hypertrophic_cardiomyopathy_9|Dilated_cardiomyopathy_1G|not_provided|Lynch_syndrome|Endometrial_carcinoma|Lynch_syndrome_1|Mismatch_repair_cancer_syndrome_1|Pituitary_carcinoma,,,
PRKAG2,HCM,,ClinVar_PLP_review2plus,False,True,6,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Cardiovascular_phenotype|not_provided|Hypertrophic_cardiomyopathy_6|Lethal_congenital_glycogen_storage_disease_of_heart|Hypertrophic_cardiomyopathy | Familial_Hypertrophic_Cardiomyopathy_with_Wolff-Parkinson-White_Syndrome|Cardiovascular_phenotype|not_provided|Cardiomyopathy|Lethal_congenital_glycogen_storage_disease_of_heart|Wolff-Parkinson-White_pattern|Hypertrophic_cardiomyopathy_6|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy,,,
PTPN11,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,reviewed_by_expert_panel,Autosomal_dominant_PTPN11-related_disorders|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|Hypertrophic_cardiomyopathy | Brachycephaly|Microcephaly|Ptosis|Global_developmental_delay|Pectus_excavatum|PTPN11-related_disorder|Cardiovascular_phenotype|Noonan_syndrome_and_Noonan-related_syndrome|not_provided|LEOPARD_syndrome_1|Metachondromatosis|Juvenile_myelomonocytic_leukemia|Noonan_syndrome_1|RASopathy|Noonan_syndrome|Noonan_syndrome_3|Hypertrophic_cardiomyopathy,,,
RAF1,HCM,,ClinVar_PLP_review2plus,False,True,2,3.0,"criteria_provided,_multiple_submitters,_no_conflicts | reviewed_by_expert_panel",Noonan_syndrome_and_Noonan-related_syndrome|Cardiovascular_phenotype|Inborn_genetic_diseases|not_provided|RASopathy|Noonan_syndrome|Noonan_syndrome_5|Noonan_syndrome_1|Primary_familial_hypertrophic_cardiomyopathy | RAF1-related_disorder|Noonan_syndrome|Noonan_syndrome_with_multiple_lentigines|not_provided|RASopathy|Hypertrophic_cardiomyopathy_1|LEOPARD_syndrome_2|Noonan_syndrome_5 | not_provided|Noonan_syndrome_5|LEOPARD_syndrome_2|Dilated_cardiomyopathy_1NN|RAF1-related_disorder|RASopathy|Noonan_syndrome|Primary_familial_hypertrophic_cardiomyopathy,,,
RPL36A-HNRNPH2,HCM,,ClinVar_PLP_review2plus,False,True,8,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease | Cardiovascular_phenotype|Hypertrophic_cardiomyopathy|Fabry_disease|not_provided|Cardiomyopathy | Cardiovascular_phenotype|not_provided|Cardiomyopathy|Fabry_disease|Hypertrophic_cardiomyopathy,,,
SLC25A4,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Myopia|Progressive_sensorineural_hearing_impairment|Vertigo|Hypertrophic_cardiomyopathy|Mitochondrial_respiratory_chain_defects|Abnormality_of_mitochondrial_metabolism|Inborn_mitochondrial_myopathy|Mitochondrial_DNA_depletion_syndrome_12B_(cardiomyopathic_type),_autosomal_recessive|not_provided|Progressive_external_ophthalmoplegia_with_mitochondrial_DNA_deletions,_autosomal_dominant_2|Left_ventricular_hypertrophy",,,
SSUH2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Elevated_circulating_creatine_kinase_activity|Distal_myopathy,_Tateyama_type|Long_QT_syndrome_9|Rippling_muscle_disease_2|Hypertrophic_cardiomyopathy_1|not_provided|Long_QT_syndrome",,,
TCAP,HCM,,ClinVar_PLP_review2plus,False,True,7,2.0,"criteria_provided,_multiple_submitters,_no_conflicts",Abnormality_of_the_musculature|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25 | Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Hypertrophic_cardiomyopathy_25|Primary_familial_hypertrophic_cardiomyopathy|Cardiovascular_phenotype | Hypertrophic_cardiomyopathy_25|Primary_familial_hypertrophic_cardiomyopathy|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G | Cardiovascular_phenotype|Primary_familial_hypertrophic_cardiomyopathy|Hypertrophic_cardiomyopathy_25|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2G|Primary_dilated_cardiomyopathy,,,
TINF2,HCM,,ClinVar_PLP_review2plus,False,True,1,2.0,"criteria_provided,_multiple_submitters,_no_conflicts","Dyskeratosis_congenita,_autosomal_dominant_3|Dyskeratosis_congenita,_autosomal_dominant_1|Revesz_syndrome|not_provided|Dyskeratosis_congenita|Hypertrophic_cardiomyopathy_1",,,
